From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P61022	P61022	reviewed	CHP1_MOUSE	Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22) (Sid 470) (p24)	Chp1 Chp Sid470	Mus musculus (Mouse)	195
P61027	P61027	reviewed	RAB10_MOUSE	Ras-related protein Rab-10 (EC 3.6.5.2)	Rab10	Mus musculus (Mouse)	200
P61028	P61028	reviewed	RAB8B_MOUSE	Ras-related protein Rab-8B (EC 3.6.5.2)	Rab8b	Mus musculus (Mouse)	207
P61079	P61079	reviewed	UB2D3_MOUSE	Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3)	Ube2d3	Mus musculus (Mouse)	147
P61082	P61082	reviewed	UBC12_MOUSE	NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.34) (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M)	Ube2m Ubc-rs2 Ubc12	Mus musculus (Mouse)	183
P61087	P61087	reviewed	UBE2K_MOUSE	Ubiquitin-conjugating enzyme E2 K (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme K) (Huntingtin-interacting protein 2) (HIP-2) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-25 kDa) (Ubiquitin-conjugating enzyme E2(25K)) (Ubiquitin-conjugating enzyme E2-25K) (Ubiquitin-protein ligase)	Ube2k Hip2	Mus musculus (Mouse)	200
P61089	P61089	reviewed	UBE2N_MOUSE	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)	Ube2n Blu	Mus musculus (Mouse)	152
P61092	P61092	reviewed	SIA1A_MOUSE	E3 ubiquitin-protein ligase SIAH1A (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH1A) (Seven in absentia homolog 1a) (Siah-1a) (Siah1a) (mSiah-1a)	Siah1a	Mus musculus (Mouse)	282
P61161	P61161	reviewed	ARP2_MOUSE	Actin-related protein 2 (Actin-like protein 2)	Actr2 Arp2	Mus musculus (Mouse)	394
P61164	P61164	reviewed	ACTZ_MOUSE	Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog)	Actr1a Ctrn1	Mus musculus (Mouse)	376
P61166	P61166	reviewed	TM258_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258 (Oligosaccharyl transferase subunit TMEM258) (Transmembrane protein 258)	Tmem258	Mus musculus (Mouse)	79
P61202-2	P61202	reviewed	CSN2_MOUSE	COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15)	Cops2 Csn2 Trip15	Mus musculus (Mouse)	443
P61211	P61211	reviewed	ARL1_MOUSE	ADP-ribosylation factor-like protein 1	Arl1	Mus musculus (Mouse)	181
P61219	P61219	reviewed	RPAB2_MOUSE	DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2) (DNA-directed RNA polymerase II subunit F) (RPB6 homolog)	Polr2f	Mus musculus (Mouse)	127
P61222	P61222	reviewed	ABCE1_MOUSE	ATP-binding cassette sub-family E member 1 (RNase L inhibitor) (EC 3.6.5.-) (Ribonuclease 4 inhibitor) (RNS4I)	Abce1 Rli	Mus musculus (Mouse)	599
P61226	P61226	reviewed	RAP2B_MOUSE	Ras-related protein Rap-2b (EC 3.6.5.2)	Rap2b	Mus musculus (Mouse)	183
P61255	P61255	reviewed	RL26_MOUSE	Large ribosomal subunit protein uL24 (60S ribosomal protein L26) (Silica-induced gene 20 protein) (SIG-20)	Rpl26	Mus musculus (Mouse)	145
P61290	P61290	reviewed	PSME3_MOUSE	Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma)	Psme3	Mus musculus (Mouse)	254
P61327	P61327	reviewed	MGN_MOUSE	Protein mago nashi homolog	Magoh	Mus musculus (Mouse)	146
P61358	P61358	reviewed	RL27_MOUSE	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	Rpl27	Mus musculus (Mouse)	136
P61406	P61406	reviewed	EST1A_MOUSE	Telomerase-binding protein EST1A (EC 3.1.-.-) (Ever shorter telomeres 1A) (Nonsense mediated mRNA decay factor SMG6) (Smg-6 homolog)	Smg6 Est1a Kiaa0732	Mus musculus (Mouse)	1418
P61460-2	P61460	reviewed	DEPD5_MOUSE	GATOR1 complex protein DEPDC5 (DEP domain-containing protein 5)	Depdc5 Kiaa0645	Mus musculus (Mouse)	1591
P61514	P61514	reviewed	RL37A_MOUSE	Large ribosomal subunit protein eL43 (60S ribosomal protein L37a)	Rpl37a	Mus musculus (Mouse)	92
P61600	P61600	reviewed	NAA20_MOUSE	N-alpha-acetyltransferase 20 (EC 2.3.1.254) (Methionine N-acetyltransferase) (N-acetyltransferase 5) (N-terminal acetyltransferase B complex catalytic subunit NAA20) (N-terminal acetyltransferase B complex catalytic subunit NAT5) (NatB complex subunit NAT5) (NatB catalytic subunit)	Naa20 Nat5	Mus musculus (Mouse)	178
P61620	P61620	reviewed	S61A1_MOUSE	Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1)	Sec61a1 Sec61a	Mus musculus (Mouse)	476
P61750	P61750	reviewed	ARF4_MOUSE	ADP-ribosylation factor 4	Arf4	Mus musculus (Mouse)	180
P61759	P61759	reviewed	PFD3_MOUSE	Prefoldin subunit 3 (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)	Vbp1 Pfdn3	Mus musculus (Mouse)	196
P61804	P61804	reviewed	DAD1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (DAD-1)	Dad1	Mus musculus (Mouse)	113
P61922-2	P61922	reviewed	GABT_MOUSE	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	Abat Gabat	Mus musculus (Mouse)	500
P61924	P61924	reviewed	COPZ1_MOUSE	Coatomer subunit zeta-1 (Zeta-1-coat protein) (Zeta-1 COP)	Copz1 Copz	Mus musculus (Mouse)	177
P61957	P61957	reviewed	SUMO2_MOUSE	Small ubiquitin-related modifier 2 (SUMO-2) (SMT3 homolog 2) (Ubiquitin-like protein SMT3B) (Smt3B)	Sumo2 Smt3b Smt3h2	Mus musculus (Mouse)	95
P61961	P61961	reviewed	UFM1_MOUSE	Ubiquitin-fold modifier 1	Ufm1	Mus musculus (Mouse)	85
P61963	P61963	reviewed	DCAF7_MOUSE	DDB1- and CUL4-associated factor 7 (WD repeat-containing protein 68) (WD repeat-containing protein An11 homolog)	Dcaf7 Han11 Wdr68	Mus musculus (Mouse)	342
P61965	P61965	reviewed	WDR5_MOUSE	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein) (WD repeat-containing protein BIG-3)	Wdr5 Big Big3	Mus musculus (Mouse)	334
P61967	P61967	reviewed	AP1S1_MOUSE	AP-1 complex subunit sigma-1A (Adaptor protein complex AP-1 subunit sigma-1A) (Adaptor-related protein complex 1 subunit sigma-1A) (Clathrin assembly protein complex 1 sigma-1A small chain) (Clathrin coat assembly protein AP19) (Golgi adaptor HA1/AP1 adaptin sigma-1A subunit) (HA1 19 kDa subunit) (Sigma 1a subunit of AP-1 clathrin) (Sigma-adaptin 1A) (Sigma1A-adaptin)	Ap1s1 Ap19	Mus musculus (Mouse)	158
P61969	P61969	reviewed	LMO4_MOUSE	LIM domain transcription factor LMO4 (Breast tumor autoantigen) (LIM domain only protein 4) (LMO-4)	Lmo4	Mus musculus (Mouse)	165
P61971	P61971	reviewed	NTF2_MOUSE	Nuclear transport factor 2 (NTF-2)	Nutf2 Ntf2	Mus musculus (Mouse)	127
P61979-3	P61979	reviewed	HNRPK_MOUSE	Heterogeneous nuclear ribonucleoprotein K (hnRNP K)	Hnrnpk Hnrpk	Mus musculus (Mouse)	463
P61982	P61982	reviewed	1433G_MOUSE	14-3-3 protein gamma [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	Ywhag	Mus musculus (Mouse)	247
P62046	P62046	reviewed	LRCH1_MOUSE	Leucine-rich repeat and calponin homology domain-containing protein 1 (Calponin homology domain-containing protein 1)	Lrch1 Chdc1 Kiaa1016	Mus musculus (Mouse)	709
P62069	P62069	reviewed	UBP46_MOUSE	Ubiquitin carboxyl-terminal hydrolase 46 (EC 3.4.19.12) (Deubiquitinating enzyme 46) (Ubiquitin thioesterase 46) (Ubiquitin-specific-processing protease 46)	Usp46	Mus musculus (Mouse)	366
P62073	P62073	reviewed	TIM10_MOUSE	Mitochondrial import inner membrane translocase subunit Tim10	Timm10 Tim10	Mus musculus (Mouse)	90
P62075	P62075	reviewed	TIM13_MOUSE	Mitochondrial import inner membrane translocase subunit Tim13	Timm13 Tim13a Timm13a	Mus musculus (Mouse)	95
P62082	P62082	reviewed	RS7_MOUSE	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	Rps7	Mus musculus (Mouse)	194
P62137	P62137	reviewed	PP1A_MOUSE	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	Ppp1ca Ppp1a	Mus musculus (Mouse)	330
P62141	P62141	reviewed	PP1B_MOUSE	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (EC 3.1.3.16) (EC 3.1.3.53)	Ppp1cb	Mus musculus (Mouse)	327
P62192	P62192	reviewed	PRS4_MOUSE	26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)	Psmc1	Mus musculus (Mouse)	440
P62196	P62196	reviewed	PRS8_MOUSE	26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (p45/SUG) (mSUG1)	Psmc5 Sug1	Mus musculus (Mouse)	406
P62242	P62242	reviewed	RS8_MOUSE	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	Rps8	Mus musculus (Mouse)	208
P62245	P62245	reviewed	RS15A_MOUSE	Small ribosomal subunit protein uS8 (40S ribosomal protein S15a)	Rps15a	Mus musculus (Mouse)	130
P62254	P62254	reviewed	UB2G1_MOUSE	Ubiquitin-conjugating enzyme E2 G1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme G1) (E217K) (UBC7) (Ubiquitin carrier protein G1) (Ubiquitin-protein ligase G1) [Cleaved into: Ubiquitin-conjugating enzyme E2 G1, N-terminally processed]	Ube2g1 Ube2g	Mus musculus (Mouse)	170
P62257	P62257	reviewed	UBE2H_MOUSE	Ubiquitin-conjugating enzyme E2 H (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme H) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme H) (UBCH2) (Ubiquitin carrier protein H) (Ubiquitin-conjugating enzyme E2-20K) (Ubiquitin-protein ligase H)	Ube2h	Mus musculus (Mouse)	183
P62259	P62259	reviewed	1433E_MOUSE	14-3-3 protein epsilon (14-3-3E)	Ywhae	Mus musculus (Mouse)	255
P62264	P62264	reviewed	RS14_MOUSE	Small ribosomal subunit protein uS11 (40S ribosomal protein S14)	Rps14	Mus musculus (Mouse)	151
P62267	P62267	reviewed	RS23_MOUSE	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	Rps23	Mus musculus (Mouse)	143
P62270	P62270	reviewed	RS18_MOUSE	Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3) (Ke3)	Rps18	Mus musculus (Mouse)	152
P62274	P62274	reviewed	RS29_MOUSE	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	Rps29	Mus musculus (Mouse)	56
P62281	P62281	reviewed	RS11_MOUSE	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	Rps11	Mus musculus (Mouse)	158
P62301	P62301	reviewed	RS13_MOUSE	Small ribosomal subunit protein uS15 (40S ribosomal protein S13)	Rps13	Mus musculus (Mouse)	151
P62305	P62305	reviewed	RUXE_MOUSE	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	Snrpe	Mus musculus (Mouse)	92
P62307	P62307	reviewed	RUXF_MOUSE	Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)	Snrpf	Mus musculus (Mouse)	86
P62309	P62309	reviewed	RUXG_MOUSE	Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)	Snrpg	Mus musculus (Mouse)	76
P62311	P62311	reviewed	LSM3_MOUSE	U6 snRNA-associated Sm-like protein LSm3	Lsm3	Mus musculus (Mouse)	102
P62313	P62313	reviewed	LSM6_MOUSE	U6 snRNA-associated Sm-like protein LSm6	Lsm6	Mus musculus (Mouse)	80
P62315	P62315	reviewed	SMD1_MOUSE	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)	Snrpd1	Mus musculus (Mouse)	119
P62317	P62317	reviewed	SMD2_MOUSE	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	Snrpd2	Mus musculus (Mouse)	118
P62320	P62320	reviewed	SMD3_MOUSE	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	Snrpd3	Mus musculus (Mouse)	126
P62331	P62331	reviewed	ARF6_MOUSE	ADP-ribosylation factor 6 (EC 3.6.5.2)	Arf6	Mus musculus (Mouse)	175
P62334	P62334	reviewed	PRS10_MOUSE	26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	Psmc6 Sug2	Mus musculus (Mouse)	389
P62340	P62340	reviewed	TBPL1_MOUSE	TATA box-binding protein-like 1 (TBP-like 1) (21 kDa TBP-like protein) (TATA box-binding protein-related factor 2) (TBP-related factor 2) (TBP-like factor) (TBP-related protein)	Tbpl1 Tlf Tlp Tlp21 Trf2 Trp	Mus musculus (Mouse)	186
P62342	P62342	reviewed	SELT_MOUSE	Thioredoxin reductase-like selenoprotein T (SelT) (EC 1.8.1.9)	Selenot Selt	Mus musculus (Mouse)	195
P62484	P62484	reviewed	ABI2_MOUSE	Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1)	Abi2	Mus musculus (Mouse)	446
P62488	P62488	reviewed	RPB7_MOUSE	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G)	Polr2g	Mus musculus (Mouse)	172
P62627	P62627	reviewed	DLRB1_MOUSE	Dynein light chain roadblock-type 1 (Dynein light chain 2A, cytoplasmic)	Dynlrb1 Dncl2a Dnlc2a	Mus musculus (Mouse)	96
P62700	P62700	reviewed	YPEL5_MOUSE	Protein yippee-like 5	Ypel5	Mus musculus (Mouse)	121
P62702	P62702	reviewed	RS4X_MOUSE	Small ribosomal subunit protein eS4 (40S ribosomal protein S4, X isoform)	Rps4x Rps4	Mus musculus (Mouse)	263
P62715	P62715	reviewed	PP2AB_MOUSE	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform (PP2A-beta) (EC 3.1.3.16)	Ppp2cb	Mus musculus (Mouse)	309
P62717	P62717	reviewed	RL18A_MOUSE	Large ribosomal subunit protein eL20 (60S ribosomal protein L18a)	Rpl18a	Mus musculus (Mouse)	176
P62743	P62743	reviewed	AP2S1_MOUSE	AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma-adaptin 3b) (Sigma2-adaptin)	Ap2s1 Ap17 Claps2	Mus musculus (Mouse)	142
P62748	P62748	reviewed	HPCL1_MOUSE	Hippocalcin-like protein 1 (Neural visinin-like protein 3) (NVL-3) (NVP-3) (Visinin-like protein 3) (VILIP-3)	Hpcal1	Mus musculus (Mouse)	193
P62751	P62751	reviewed	RL23A_MOUSE	Large ribosomal subunit protein uL23 (60S ribosomal protein L23a)	Rpl23a	Mus musculus (Mouse)	156
P62754	P62754	reviewed	RS6_MOUSE	Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33)	Rps6	Mus musculus (Mouse)	249
P62774	P62774	reviewed	MTPN_MOUSE	Myotrophin (Granule cell differentiation protein) (Protein V-1)	Mtpn Gcdp	Mus musculus (Mouse)	118
P62806	P62806	reviewed	H4_MOUSE	Histone H4	H4c1 Hist1h4a; H4c2 H4-53 Hist1h4b; H4c3 H4-12 Hist1h4c; H4c4 Hist1h4d; H4c6 Hist1h4f; H4c8 Hist1h4h; H4c9 Hist1h4i; H4c11 Hist1h4j; H4c12 Hist1h4k; Hist1h4m; H4c14 Hist2h4 Hist2h4a; H4c16 H4f16 Hist4h4	Mus musculus (Mouse)	103
P62814	P62814	reviewed	VATB2_MOUSE	V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 2)	Atp6v1b2 Atp6b2 Vat2	Mus musculus (Mouse)	511
P62821	P62821	reviewed	RAB1A_MOUSE	Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein)	Rab1a Rab1	Mus musculus (Mouse)	205
P62827	P62827	reviewed	RAN_MOUSE	GTP-binding nuclear protein Ran (EC 3.6.5.-) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	Ran Rasl2-8	Mus musculus (Mouse)	216
P62830	P62830	reviewed	RL23_MOUSE	Large ribosomal subunit protein uL14 (60S ribosomal protein L23)	Rpl23	Mus musculus (Mouse)	140
P62835	P62835	reviewed	RAP1A_MOUSE	Ras-related protein Rap-1A (EC 3.6.5.2) (Ras-related protein Krev-1)	Rap1a Krev-1	Mus musculus (Mouse)	184
P62838	P62838	reviewed	UB2D2_MOUSE	Ubiquitin-conjugating enzyme E2 D2 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D2) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D2) (Ubiquitin carrier protein D2) (Ubiquitin-conjugating enzyme E2(17)KB 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase D2)	Ube2d2 Ubc4 Ubch4 Ubch5b Ube2d2a	Mus musculus (Mouse)	147
P62843	P62843	reviewed	RS15_MOUSE	Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein)	Rps15 Rig	Mus musculus (Mouse)	145
P62849-2	P62849	reviewed	RS24_MOUSE	Small ribosomal subunit protein eS24 (40S ribosomal protein S24)	Rps24	Mus musculus (Mouse)	133
P62852	P62852	reviewed	RS25_MOUSE	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	Rps25	Mus musculus (Mouse)	125
P62855	P62855	reviewed	RS26_MOUSE	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	Rps26	Mus musculus (Mouse)	115
P62858	P62858	reviewed	RS28_MOUSE	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	Rps28	Mus musculus (Mouse)	69
P62862	P62862	reviewed	RS30_MOUSE	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin-like and ribosomal protein S30) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	Fau	Mus musculus (Mouse)	133
P62869	P62869	reviewed	ELOB_MOUSE	Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2)	Elob Tceb2	Mus musculus (Mouse)	118
P62874	P62874	reviewed	GBB1_MOUSE	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	Gnb1	Mus musculus (Mouse)	340
P62878	P62878	reviewed	RBX1_MOUSE	E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (RING finger protein 75) (RING-box protein 1) (Rbx1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed]	Rbx1	Mus musculus (Mouse)	108
P62880	P62880	reviewed	GBB2_MOUSE	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (G protein subunit beta-2) (Transducin beta chain 2)	Gnb2	Mus musculus (Mouse)	340
P62889	P62889	reviewed	RL30_MOUSE	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	Rpl30	Mus musculus (Mouse)	115
P62892	P62892	reviewed	RL39_MOUSE	Large ribosomal subunit protein eL39 (60S ribosomal protein L39)	Rpl39	Mus musculus (Mouse)	51
P62897	P62897	reviewed	CYC_MOUSE	Cytochrome c, somatic	Cycs	Mus musculus (Mouse)	105
P62900	P62900	reviewed	RL31_MOUSE	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	Rpl31	Mus musculus (Mouse)	125
P62908	P62908	reviewed	RS3_MOUSE	Small ribosomal subunit protein uS3 (EC 4.2.99.18) (40S ribosomal protein S3)	Rps3	Mus musculus (Mouse)	243
P62911	P62911	reviewed	RL32_MOUSE	Large ribosomal subunit protein eL32 (60S ribosomal protein L32)	Rpl32	Mus musculus (Mouse)	135
P62915	P62915	reviewed	TF2B_MOUSE	Transcription initiation factor IIB (EC 2.3.1.48) (General transcription factor TFIIB) (RNA polymerase II alpha initiation factor)	Gtf2b	Mus musculus (Mouse)	316
P62918	P62918	reviewed	RL8_MOUSE	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	Rpl8	Mus musculus (Mouse)	257
P62960	P62960	reviewed	YBOX1_MOUSE	Y-box-binding protein 1 (YB-1) (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Nuclease-sensitive element-binding protein 1) (Y-box transcription factor)	Ybx1 Msy-1 Msy1 Nsep1 Yb1	Mus musculus (Mouse)	322
P62962	P62962	reviewed	PROF1_MOUSE	Profilin-1 (Profilin I)	Pfn1	Mus musculus (Mouse)	140
P62983	P62983	reviewed	RS27A_MOUSE	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]	Rps27a Uba80 Ubcep1	Mus musculus (Mouse)	156
P62996	P62996	reviewed	TRA2B_MOUSE	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (Silica-induced gene 41 protein) (SIG-41) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	Tra2b Sfrs10 Silg41	Mus musculus (Mouse)	288
P63001	P63001	reviewed	RAC1_MOUSE	Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (p21-Rac1)	Rac1	Mus musculus (Mouse)	192
P63005	P63005	reviewed	LIS1_MOUSE	Platelet-activating factor acetylhydrolase IB subunit beta (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha)	Pafah1b1 Lis-1 Lis1 Pafaha	Mus musculus (Mouse)	410
P63011	P63011	reviewed	RAB3A_MOUSE	Ras-related protein Rab-3A (EC 3.6.5.2)	Rab3a	Mus musculus (Mouse)	220
P63015-2	P63015	reviewed	PAX6_MOUSE	Paired box protein Pax-6 (Oculorhombin)	Pax6 Pax-6 Sey	Mus musculus (Mouse)	422
P63017	P63017	reviewed	HSP7C_MOUSE	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)	Hspa8 Hsc70 Hsc73	Mus musculus (Mouse)	646
P63024	P63024	reviewed	VAMP3_MOUSE	Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3)	Vamp3 Syb3	Mus musculus (Mouse)	103
P63028	P63028	reviewed	TCTP_MOUSE	Translationally-controlled tumor protein (TCTP) (21 kDa polypeptide) (p21) (p23)	Tpt1 Trt	Mus musculus (Mouse)	172
P63030	P63030	reviewed	MPC1_MOUSE	Mitochondrial pyruvate carrier 1 (Brain protein 44-like protein)	Mpc1 Brp44l	Mus musculus (Mouse)	109
P63034-2	P63034	reviewed	CYH2_MOUSE	Cytohesin-2 (ARF nucleotide-binding site opener) (Protein ARNO) (PH, SEC7 and coiled-coil domain-containing protein 2) (CLM2) (SEC7 homolog B) (mSec7-2)	Cyth2 Pscd2 Sec7b	Mus musculus (Mouse)	400
P63037	P63037	reviewed	DNJA1_MOUSE	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2)	Dnaja1 Dnaj2 Hsj2 Hspf4	Mus musculus (Mouse)	397
P63038	P63038	reviewed	CH60_MOUSE	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (HSP-65) (Heat shock protein 60) (HSP-60) (Hsp60) (Mitochondrial matrix protein P1)	Hspd1 Hsp60	Mus musculus (Mouse)	573
P63073	P63073	reviewed	IF4E_MOUSE	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (mRNA cap-binding protein) (eIF-4F 25 kDa subunit)	Eif4e	Mus musculus (Mouse)	217
P63082	P63082	reviewed	VATL_MOUSE	V-type proton ATPase 16 kDa proteolipid subunit c (V-ATPase 16 kDa proteolipid subunit c) (PL16) (Vacuolar proton pump 16 kDa proteolipid subunit c)	Atp6v0c Atp6c Atp6l Atpl Mvp	Mus musculus (Mouse)	155
P63085	P63085	reviewed	MK01_MOUSE	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	Mapk1 Erk2 Mapk Prkm1	Mus musculus (Mouse)	358
P63087-2	P63087	reviewed	PP1G_MOUSE	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)	Ppp1cc	Mus musculus (Mouse)	323
P63094	P63094	reviewed	GNAS2_MOUSE	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (EC 3.6.5.-) (Adenylate cyclase-stimulating G alpha protein)	Gnas Gnas1 MNCb-5546	Mus musculus (Mouse)	394
P63101	P63101	reviewed	1433Z_MOUSE	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1) (SEZ-2)	Ywhaz	Mus musculus (Mouse)	245
